"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"1274134","occ","","IF","169281","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","70.6","66","61144","0.967585","42.247719"
"1274463","occ","","IF","169297","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Late Campanian","","83.5","70.6","61140","1.045398","42.119465"
"1276848","occ","","","156028","n. gen. Rukwatitan n. sp. bisepultus","species","320811","","Rukwatitan bisepultus","species","320811","Cenomanian","Campanian","100.5","72.1","55378","32.700001","-8.700000"
"1277134","occ","","IF","83229","Parabrontopodus sp.","genus","68971","","Parabrontopodus","genus","68971","Early Hettangian","","201.3","196.5","76627","20.685158","51.141060"
"1277138","occ","","IF","84260","Parabrontopodus sp.","genus","68971","","Parabrontopodus","genus","68971","Early Hettangian","","201.3","196.5","55396","20.685158","51.141060"
"1277252","occ","","F","36381","Megaloolithus mamillare","species","67201","","Megaloolithus mamillare","species","67201","Early Maastrichtian","","70.6","66","55401","0.900000","42.166668"
"1277257","occ","","IF","169512","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","70.6","66","55401","1.270573","42.168053"
"1277258","occ","","F","169513","Megaloolithus mamillare","species","67201","","Megaloolithus mamillare","species","67201","Early Maastrichtian","","70.6","66","55401","1.270573","42.168053"
"1277259","occ","","IF","169514","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","70.6","66","55401","1.270573","42.168053"
"1278568","occ","","F","61380","Megaloolithus mamillare","species","67201","","Megaloolithus mamillare","species","67201","Late Maastrichtian","","70.6","66","55428","1.772222","42.159168"
"1278591","occ","32980","IF","164927","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","70.6","66","55428","1.794040","42.180744"
"1278609","occ","","F","169870","Megaloolithus mamillare","species","67201","","Megaloolithus mamillare","species","67201","Early Maastrichtian","","70.6","66","55428","1.783435","42.235031"
"1278619","occ","","F","169871","Megaloolithus mamillare","species","67201","","Megaloolithus mamillare","species","67201","Early Maastrichtian","","70.6","66","55428","1.783435","42.235031"
"1278620","occ","","IF","169871","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","70.6","66","55428","1.783435","42.235031"
"1278621","occ","","IF","169871","Megaloolithus cf. siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","70.6","66","55428","1.783435","42.235031"
"1278622","occ","","IF","169872","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","70.6","66","55400","1.794896","42.232895"
"1278635","occ","","IF","169874","Megaloolithus ? siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","70.6","66","55428","1.770505","42.200642"
"1278637","occ","","F","169875","Megaloolithus cf. mamillare","species","67201","","Megaloolithus mamillare","species","67201","Late Maastrichtian","","70.6","66","55428","1.792291","42.201591"
"1278638","occ","","IF","169876","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","70.6","66","55428","1.719266","42.229115"
"1278687","occ","","","132354","cf. Lirainosaurus astibiae","species","65827","","Lirainosaurus astibiae","species","65827","Late Campanian","","83.5","70.6","55429","6.110604","43.604431"
"1278688","occ","","","48850","cf. Lirainosaurus astibiae","species","65827","","Lirainosaurus astibiae","species","65827","Early Maastrichtian","","70.6","66","55429","2.200000","42.913700"
"1278689","occ","","","169878","Ampelosaurus atacis","species","65140","","Ampelosaurus atacis","species","65140","Late Campanian","","83.5","70.6","55429","5.612007","43.488010"
"1282901","occ","38288","I","170491","aff. Brontopodus sp.","genus","67216","","Brontopodus","genus","67216","Kimmeridgian","","157.3","152.1","55571","-69.249443","-21.869444"
"1283498","occ","","","170616","n. gen. Sefapanosaurus n. sp. zastronensis","species","322708","","Sefapanosaurus zastronensis","species","322708","Norian","Hettangian","228","199.3","55582","27.083332","-30.299999"
"1284667","occ","","","170921","Pelorosaurus ? humerocristatus","species","67041","recombined as","Duriatitan humerocristatus","species","67006","Tithonian","","152.1","145","55639","-0.840000","51.840000"
"1284951","occ","","","171027","Alamosaurus sanjuanensis","species","63399","","Alamosaurus sanjuanensis","species","63399","Late Maastrichtian","","70.6","66","12807","-108.101944","36.343887"
"1285128","occ","","F","167946","Megaloolithus sp.","genus","65584","","Megaloolithus","genus","65584","Late Maastrichtian","","70.6","66","54956","0.999670","42.145771"
"1285129","occ","31486","F","171111","Megaloolithus mamillare","species","67201","","Megaloolithus mamillare","species","67201","Late Maastrichtian","","70.6","66","55401","0.975576","42.136692"
"1285130","occ","","F","171103","Megaloolithus sp.","genus","65584","","Megaloolithus","genus","65584","Late Maastrichtian","","70.6","66","54956","-1.055002","42.155483"
"1285143","occ","31487","F","171123","Megaloolithus mamillare","species","67201","","Megaloolithus mamillare","species","67201","Late Maastrichtian","","70.6","66","55401","1.037880","42.138268"
"1291798","occ","","","83734","Diplodocidae indet.","unranked clade","319108","","Diplodocidae","unranked clade","38664","Tithonian","","152.1","145","55192","-72.383331","-46.650002"
"1291802","occ","","","83734","Diplodocinae indet.","unranked clade","319099","","Diplodocinae","unranked clade","65916","Tithonian","","152.1","145","56018","-72.383331","-46.650002"
"1293849","occ","","","172834","Eucnemesaurus n. sp. entaxonis","species","327194","","Eucnemesaurus entaxonis","species","327194","Norian","Rhaetian","228","201.3","56187","26.910557","-30.884722"
"1294033","occ","","","64133","Trigonosaurus pricei","species","85461","","Trigonosaurus pricei","species","85461","Maastrichtian","","72.1","66","56190","-47.615833","-19.601944"
"1296269","occ","","","172898","n. gen. Padillasaurus n. sp. leivaensis","species","327237","","Padillasaurus leivaensis","species","327237","Late Barremian","","130","125.45","56195","-73.551941","5.617778"
"1296272","occ","","","172899","Diplodocidae indet.","unranked clade","319108","","Diplodocidae","unranked clade","38664","Kimmeridgian","","157.3","152.1","56196","-71.583336","-43.688889"
"1296982","occ","","","67196","Titanosauridae indet.","family","38680","","Titanosauridae","family","38680","Late Maastrichtian","","70.6","66","38063","0.950376","43.200733"
"1297004","occ","","","148954","Titanosauridae indet.","family","38680","","Titanosauridae","family","38680","Late Maastrichtian","","70.6","66","56237","1.038132","43.147121"
"1299065","occ","","","173377","Lufengosaurus huenei","species","56597","","Lufengosaurus huenei","species","56597","Hettangian","","201.3","199.3","56457","102.082504","24.957121"
