"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"1528477","occ","","","214300","n. gen. Vectaerovenator n. sp. inopinatus","species","426827","","Vectaerovenator inopinatus","species","426827","Late Aptian","","122.46","112.03","73875","-1.175000","50.622398"
"1528637","occ","","","214347","cf. Dilophosaurus wetherilli","species","57251","","Dilophosaurus wetherilli","species","55479","Sinemurian","Pliensbachian","199.3","182.7","73901","-111.073608","35.736668"
"1528638","occ","","","98597","Dilophosaurus wetherilli","species","57251","","Dilophosaurus wetherilli","species","55479","Pliensbachian","","190.8","182.7","73901","-111.083298","35.750000"
"1528639","occ","","","214348","Dilophosaurus wetherilli","species","57251","","Dilophosaurus wetherilli","species","55479","Pliensbachian","","190.8","182.7","73901","-111.083298","35.750000"
"1528640","occ","","","214349","cf. Dilophosaurus wetherilli","species","57251","","Dilophosaurus wetherilli","species","55479","Hettangian","Sinemurian","201.3","190.8","73901","-110.701401","36.998402"
"1528819","occ","","","214380","cf. Dilophosaurus wetherilli","species","57251","","Dilophosaurus wetherilli","species","55479","Hettangian","Sinemurian","201.3","190.8","73901","-109.546600","38.699402"
"1528919","occ","","IF","214410","cf. Picunichnus sp.","genus","171009","","Picunichnus","genus","171009","Cenomanian","","100.5","93.9","73923","35.475555","30.496944"
"1528940","occ","","","14495","Saurornitholestinae indet.","subfamily","143992","","Saurornitholestinae","subfamily","143992","Early Maastrichtian","","70.6","66","73931","-151.591492","70.018669"
"1528941","occ","","IF","214416","cf. Kayentapus sp.","genus","68970","","Kayentapus","genus","68970","Hettangian","Sinemurian","201.3","190.8","73933","27.716700","-30.400000"
"1528942","occ","","I","214416","cf. Eubrontes sp.","genus","66094","","Eubrontes","genus","66094","Hettangian","Sinemurian","201.3","190.8","73933","27.716700","-30.400000"
"1528943","occ","","I","214416","cf. Grallator sp.","genus","64079","","Grallator","genus","64079","Hettangian","Sinemurian","201.3","190.8","73933","27.716700","-30.400000"
"1528944","occ","","IF","214417","Kayentapus n. sp. ambrokholohali","species","427169","","Kayentapus ambrokholohali","species","427169","Hettangian","Sinemurian","201.3","190.8","73934","27.702499","-29.452499"
"1528945","occ","","I","214417","cf. Eubrontes sp.","genus","66094","","Eubrontes","genus","66094","Hettangian","Sinemurian","201.3","190.8","73934","27.702499","-29.452499"
"1528946","occ","","IF","214417","cf. Kayentapus sp.","genus","68970","","Kayentapus","genus","68970","Hettangian","Sinemurian","201.3","190.8","73934","27.702499","-29.452499"
"1528948","occ","","IF","143491","cf. Anchisauripus sp.","genus","64083","","Anchisauripus","genus","64083","Early Jurassic","","201.3","174.1","73935","16.653521","-21.420189"
"1528949","occ","","IF","214423","Eubrontes giganteus","species","66095","","Eubrontes giganteus","species","67402","Early Jurassic","","201.3","174.1","73935","16.653521","-21.420189"
"1528996","occ","","","22656","Chirostenotes pergracilis","species","54561","","Chirostenotes pergracilis","species","54561","Late Campanian","","83.5","70.6","73939","-111.513893","50.734207"
"1528997","occ","","","22656","cf. Citipes elegans","species","427202","","Citipes elegans","species","54558","Late Campanian","","83.5","70.6","73939","-111.513893","50.734207"
"1529025","occ","","IF","214450","Iberosauripus sp.","genus","378316","","Iberosauripus","genus","378316","Hauterivian","Barremian","132.9","125","73948","88.811386","38.169724"
"1529028","occ","","","214451","Megalosauridae ? indet.","family","364116","","Megalosauridae","family","38574","Tithonian","Berriasian","152.1","139.8","73949","-0.866667","40.283333"
"1529032","occ","","IF","214452","n. gen. Bellatoripes n. sp. fredlundi","species","427310","","Bellatoripes fredlundi","species","427310","Late Campanian","","83.5","70.6","73950","-120.892403","55.107101"
"1529033","occ","","IF","214452","Saurexallopus n. sp. cordata","species","427316","","Saurexallopus cordata","species","427316","Late Campanian","","83.5","70.6","73951","-120.892403","55.107101"
"1529043","occ","","I","214458","cf. Megalosauripus sp.","genus","68292","","Megalosauripus","genus","68292","Berriasian","Valanginian","145","132.9","73951","-121.785400","55.670200"
"1529057","occ","37543","IF","214463","cf. Irenichnites sp.","genus","85216","","Irenichnites","genus","85216","Early Cenomanian","Middle Cenomanian","99.6","93.5","73951","-120.910233","55.059307"
"1529061","occ","37530","I","214464","cf. Megalosauripus sp.","genus","68292","","Megalosauripus","genus","68292","Valanginian","","139.8","132.9","73951","-120.290001","54.070000"
"1529078","occ","","I","214464","cf. Columbosauripus ungulatus","species","85215","","Columbosauripus ungulatus","species","85215","Valanginian","","139.8","132.9","73951","-120.290001","54.070000"
"1529080","occ","","I","214464","cf. Irenesauripus acutus","species","85121","","Irenesauripus acutus","species","85121","Valanginian","","139.8","132.9","73951","-120.290001","54.070000"
"1529083","occ","","I","52590","cf. Aquatilavipes curriei","species","143295","recombined as","Limiavipes curriei","species","143295","Aptian","Albian","125","100.5","73951","-122.269402","56.025101"
"1529084","occ","","I","52590","Irenesauripus mclearni","species","85122","","Irenesauripus mclearni","species","85122","Aptian","Albian","125","100.5","73951","-122.269402","56.025101"
"1529085","occ","","I","214470","Irenesauripus mclearni","species","85122","","Irenesauripus mclearni","species","85122","Aptian","Albian","125","100.5","73951","-122.657997","55.914001"
"1529086","occ","","I","214470","Columbosauripus ungulatus","species","85215","","Columbosauripus ungulatus","species","85215","Aptian","Albian","125","100.5","73951","-122.657997","55.914001"
"1529089","occ","","I","214471","Irenesauripus mclearni","species","85122","","Irenesauripus mclearni","species","85122","Aptian","Albian","125","100.5","73951","-121.919998","56.029999"
"1529097","occ","","I","52878","Limiavipes curriei","species","387444","","Limiavipes curriei","species","143295","Albian","","113","100.5","73951","-119.275002","54.033333"
"1529099","occ","","I","52876","Limiavipes curriei","species","387444","","Limiavipes curriei","species","143295","Albian","","113","100.5","73951","-119.291664","54.416668"
"1529102","occ","","IF","214474","cf. Irenichnites sp.","genus","85216","","Irenichnites","genus","85216","Albian","","113","100.5","73951","-121.370003","55.139999"
"1529104","occ","","I","214475","Irenesauripus sp.","genus","85118","","Irenesauripus","genus","85118","Albian","","113","100.5","73951","-121.827003","55.626999"
"1529105","occ","","IF","214476","cf. Irenichnites sp.","genus","85216","","Irenichnites","genus","85216","Middle Albian","","109","105.3","73951","-120.976997","54.914001"
"1529118","occ","","I","214487","cf. Irenesauripus sp.","genus","85118","","Irenesauripus","genus","85118","Late Albian","","105.3","99.6","73951","-121.572998","50.223000"
